"Reviewer_name","Review_title","Rating","Date_of_experience","Review_description"
"Mr John David Lloyd","Date Change","excellent","Nine December Two-thousand-twenty-four","This was the 3rd or 4th time I have used Crystal Travel.  Arbaz continued my 5-star experience with the agency.  Thank you."
"James","Tried to book a flight only to have…","bad","Seven December Two-thousand-twenty-four","Tried to book a flight only to have email that flight not available.I called and told not ticketed and no longer available.i said it is still on website. Jazz promised to call me back within 10 min. Didn't. I called back and he said he would escalate and call me back the following day. Assured me the erroneous ticket price would be removed from website.When he called the following day he said £150 more and I said unacceptable especially as they are still showing live the wrong price.Avoid, sharp practice."
"RAUL","Alfred at crystal traval was really…","excellent","Three December Two-thousand-twenty-four","Alfred at crystal traval was really attentive, calmed and professional and helped me out with the airline ref number, as I wanted to be checed in this early flight. They offered the fare and honoured it. Recommended"
"bipin bhatt","Crystal booking","excellent","Seven December Two-thousand-twenty-four","Best and competitive site for the tickets.  Claire Harp made the booking quick, easy and wonderful experience.  Very polite and helpful.Highly recommend"
"Dudley van Lelyveld","James Smith","excellent","Three December Two-thousand-twenty-four","James Smith handled our requests for various flight quotes, followed by numerous changes, efficiently and professionally.We have ended up with very attractive fares from London to Sydney and James explained everything to us as well as handling our seat allocations."
"Taylor","Con Artists","bad","Seven December Two-thousand-twenty-four","Displaying flights online that you cannot book, then try ringing you up once payment is declined asking to change your flight which is double in price.Just poor marketing."
"Darren Jones","I booked my flight months ago with…","excellent","Thirty November Two-thousand-twenty-four","I booked my flight months ago with Olivia Clark and she was very nice and professional and found us an amazing deal on our flights,after she completed the booked she said she would call back the day before a fly and help me check in,I've just had her on the phone and has checked me and my wife in..I am so grateful for all the assistance and would recommend Crystal Travel to anyone looking for an amazing travel company that's goes out of there way to make the experience of travelling more easy.Thanks once again Olivia Clark.Thanks Darren Jones"
"Babu Ram Thapa","Excellent service from all the team","excellent","Five December Two-thousand-twenty-four","Excellent service from all the team. Alfred Shaw has been exceptionally helpful in sorting out my issues with great patience and understanding Thank you all for your excellent service at Crystal Travels. Good company and reliable too ."
"Norma Mckenna","The Staff Stella Stevens who assisted…","excellent","Three December Two-thousand-twenty-four","The Staff Stella Stevens who assisted me today was very polite , helpful , approachable , very efficient , she has gone the extra mile .I am really pleased with the service so far . Many Thanks ."
"ALI","A big thank you again to the Claire Harp…","excellent","Twenty-eight November Two-thousand-twenty-four","A big thank you again to the crystal travel family and especially Claire. Your kindness and efforts are truly appreciated and what you would wish to be dealt with by all in any business in the manner of which you provided the service. Definitely not the first time and surely not the last will be dealing with you again. Thank you so much"
"Mariam K","I have been attended to by a very…","excellent","Three December Two-thousand-twenty-four","I have been attended to by a very efficient staff member by the name of Sam Jones. My enquiry was dealt with very promptly. I will definitely recommend Crystal Travel to my friends and family. I look forward to more future bookings with you."
"rajib talukdar","I am very Thankful to Claire  for her…","excellent","Thirty November Two-thousand-twenty-four","I am very Thankful to Claire  for her help to sort my tickets i am booking a month before. She was very supportive and gave me plenty of option to pay for my tickets. Usually this kind of service we never expect. Thank you Crystal Travel for being part of my journey and make it easier & simple."
"Andrew L","Helpful and friendly","excellent","Twenty-eight November Two-thousand-twenty-four","I was having problems trying to log in to the China Southern Web site to select and confirm seats on my upcoming trip from the UK to New Zealand. So, I called Crystal Travel and spoke with Freya. She was able to resolve my problem within minutes. Highly recommended - thank you"
"Beverly King","Jack was extremely helpful and patient","excellent","Twenty-nine November Two-thousand-twenty-four","Jack was extremely helpful and patient. He was polite and listened carefully to ensure the needs of my elderly family member were met. I will definitely use Crystal Travel again."
"Vanessa","Amazing Service and results!","excellent","Twenty-six November Two-thousand-twenty-four","I Have used Crystal Travel twice recently and they have found me great flights and deals - especially John Morris - who was amazing! Highly recommend using this company - especially for multi flight /destinations."
"L. Hatteea","Superb company !","excellent","Two December Two-thousand-twenty-four","The attendent Sid Morgan was superb. He was very helpfull trying to find better fares for my trip. Crystal Travel is the best fares in tiday’s search for holidays. I recommend them !"
"Aime Patrick Nishimwe","He helped me in a professional way","excellent","Nine December Two-thousand-twenty-four","He helped me ina professional way.Well done Mr Sergio"
"Darrel Allan","Olive Clark was extremely helpful in…","excellent","Four December Two-thousand-twenty-four","Olive Clark was extremely helpful in sorting out some issues I had with Kenya Airways, booking particular seats, amending my personal information etc, and just being very helpful…….many thanks"
"Alan Rouse","Olivia was very polite and helpful","excellent","Nine December Two-thousand-twenty-four","Olivia was very polite and helpful booking seats for me on a flight to Australia"
"Ilyas Musa","Just booked some flights with Lisa and…","excellent","Two December Two-thousand-twenty-four","Just booked some flights with Lisa and have to say she gave excellent customer service whilst i was somewhat challenging in my request. Well done!"
"Bishnu Gurung","I am happy with the service provided by…","excellent","Ten December Two-thousand-twenty-four","I am happy with the service provided by Carolina DiazCustomer Services Consultant."
"RICARDO DE VERA","The customer service lady from crystal…","excellent","Four December Two-thousand-twenty-four","The customer service lady from crystal named Stella is so helpful and very patient guiding me ,all throughout my booking, I would love to book in future same like her"
"Vimi Naiko","Today I was looking for a better price…","excellent","Twenty-seven November Two-thousand-twenty-four","Today I was looking for a better price ticket searching online luckily I came across crystal travel , and mr Jack who was on customer service desk . He has help me to find the fare that I was looking for and I will definitely say I was very nice talking to him and the service that he provided today was excellent. I definitely recommend him next time to all my friends n families."
"Julie Thomson","Olivia Clark was very polite, patient and…","excellent","Thirty November Two-thousand-twenty-four","Olivia Clark was very polite and helpful with my query.She was very patient  and update me step by step with the payment process.Have a great weekend  Olivia.This is my second  time using Crystal  Travel  agency  and please to say I am happy with the service  and will recommend to family and friends."
"Atalia   Moyo","Alfred wea helpful in answering my questions …","excellent","Six December Two-thousand-twenty-four","Alfred wea helpful in answering my questions. And sorting out the issues on my booking."
"drive safe","I was referred to Crystal Travel…","excellent","Twenty-six November Two-thousand-twenty-four","I was referred to Crystal Travel through a friend who had a great experience so I would really like to share mine. I was put through to a gentleman by the name of Aron who was extremely easy to talk to and well mannered. He was thoroughly helpful and made the whole experience so easy. I would definitely recommend these guys to my friends and family."
"CustomeCarolyn r","Very helpful and polite","excellent","Twenty-nine November Two-thousand-twenty-four","This youngman explained eveything,and made it very easy to understand how crystal travel works.He was also willing and prompt to answer any questions on my flight"
"LisaBarnett","Great service","excellent","Twenty-seven November Two-thousand-twenty-four","I have booked through crystal travel a few times now and always found it an easy and pleasant experience and having just done so again with Ana helping me and patiently answering questions I am again so happy with the service and help provided.Ana went above and beyond to help me book my flights,Thank you Ana"
"Andrew Lindley","Friendly, efficient service lfred Shaw was very friendly and…","excellent","Five December Two-thousand-twenty-four","Alfred Shaw was very friendly and efficient in helping us to reserve our seats for our flight to Australia."
"MARIA CABRERA","Stella Stevens was very helpful","excellent","Nine December Two-thousand-twenty-four","Stella Stevens was very helpful, professional and has provided an excellent service."
"Zella H.","Sketchy Experience","below average","Twenty-seven December Two-thousand-twenty-three","Thankfully we were only booking flights to Amsterdam less than £200, anything more expensive and I would've been very uncomfortable!I received a call to make our booking, despite trying to do it online. Our handler was a chap called ""Ronnie O'Connor"" despite having a thick Indian accent, which feels dishonest. His English level was poor and he barked instructions at us which we were struggling to understand, which isn't a reassuring situation when there's money involved.He then sent us an email link to a 3rd party payment site. Again, not sure why I wasn't allowed to go through the booking process online like any other travel company. We were both very skeptical about the process and how unprofessional it had been.Thankfully our tickets were real and we went on our holiday, but I definitely won't be using them again for the sake of saving a few quid. Avoid!"
"Joanne Unsworth","Had a question regarding my e-tickets…","excellent","Five December Two-thousand-twenty-four","Had a question regarding my e-tickets and Caroline, sorted it out for me. Even made a call back to see if I was happy with the answer."
"Amy","Very happy 😊","excellent","Twenty-seven November Two-thousand-twenty-four","Been using Crystal Travel in most of my travels going home to the Philippines,  amd they have always been very helpful and a very trusted travel company. Ana Shift and Candice were very helpful and sorted out all my requirements for my recent travel home. Thank you and keep up the good works ladies. God bless you."
"Eduardo Concimino","I'm  thankful with staff of Crystal…","excellent","Thirty November Two-thousand-twenty-four","I'm  thankful with staff of Crystal Travel, especially  Cristy. She did a wonderful job and attended to my concern. Very friendly and polite."
"juliany davies","I am very pleased with the customer…","excellent","Nineteen November Two-thousand-twenty-four","I am very pleased with the customer service I received from AronAron has been honest and reliable from me making an enquiry to buying my ticket. He took his time and confidently explained every step of the process to me. At the end, I was convinced that Aron could be trusted and I should book my flight with him (Crystal Travel) Just wish all travelling agents can replicate such honesty and professionalism.Aron was able to make my day."
"Sunnie Osagie","I really want to appreciate Freya…","excellent","Six December Two-thousand-twenty-four","I really want to appreciate Freya Donovan for the row he played getting my ticket thanks so much and thanks to Crystal Travel for making it possible my first time and you guys did a great job looking forward to another great business with you guys God bless."
"Mrs Editha Bautista","Freya was very accomodating and…","excellent","Twenty-seven November Two-thousand-twenty-four","Thank you so much Jerry and Freya for assisting us with our flights and for responding to my querries without any hesitation. We are happy that we have booked our flights with Crystal travel."
"Jocelyn","My travel consultant Jose has been…","excellent","Five November Two-thousand-twenty-four","My travel consultant Jose has been fantastic in assisting me with all my travel needs. He gives me prompt answers to all my queries. Crystal Travel offers a wide variety of flight options you can choose from."
"PLAY LIST Blagrove","I was assisted by Stella she was warm…","excellent","Two December Two-thousand-twenty-four","I was assisted by Stella she was warm welcoming ,and gave me proper asistant ,great work ,that is why i use crystal travel for past 15 .thanks stella"
"Roy Apps","Great experience booking flights","excellent","Twenty-five November Two-thousand-twenty-four","Great experience booking flights with Crystal Travel and special thanks to Ryan Smith who done the booking smoothly… hassle free.  We regularly use Crystal travel to book our flights and very happy with service."
"Mr A G Mews","Helpful service","excellent","Thirty November Two-thousand-twenty-four","Have booked with them a few times without any issues and have also found them helpful with regards choice of seats when the connection time is short."
"Abbey Abolaji","Crystal travel is excellent and the person who attended to me was so amazing Olivia clerk was brilliant","excellent","Nine December Two-thousand-twenty-four","Crystal travel is excellent and the person who attended to me"
"Sulia Olabode","Outstanding Service and Professionalism!","excellent","Twenty-six November Two-thousand-twenty-four","Excellent communication and highly professional agents. A special thanks to James Smith, Freya Donovan, and the rest of the team who helped make this booking a smooth process for me!"
"Balvantrai Mistry","Veronica Brooks booked our flights and…","excellent","Fourteen November Two-thousand-twenty-four","Veronica Brooks booked our flights and Hotels to Bali Indonesia. I can’t you enough to making wonderful arrangements for Flights and five star Hotels.Next year 2025 we are both celebrate Birthday and 50 years Our anniversary also to celebrate. Thanks again Veronica and I will never take trips and flights without talking to you🙏Bill Mistry"
"Billy","Very Quick Response with my issue","excellent","Six December Two-thousand-twenty-four","I called with an issue but it was resolved very quickly by Freya, Very good service"
"FR","Excellent service from Jose","excellent","Sixteen November Two-thousand-twenty-four","After a whole day of intense searching for flights to Dhaka,Bangladesh for my family of 5 passengers. Jose was extremely helpful and was always on standby for queries. I had to make 2 separate payments and Jose was able to stay on the phone to ensure both my transactions were completed and sent me my tickets straight away on whatsapp and email. Tickets prices for Dhaka are really expensive and high in demand now, but Jose was able to search up the best tickets for me."
"David","Booked again!","excellent","Twenty-eight November Two-thousand-twenty-four","This is the third time I've booked through Crystal Travel. Today I spoke to Ana who was professional and patient( my system was slow), helpful and courteous.I would recommend them."
"N.G.","Dedication and patience","excellent","Nineteen November Two-thousand-twenty-four","Aron did a great job for me in getting a place for my return flight. His patience in getting my payment through when my credit card was blocked by my provider. It took me a long time to phone UK from Australia to get it unblocked. I greatly appreciate his dedication to see that all is done well."
"Lipuleni  Doreen McLary","It is my first time using Crystal…","excellent","Twenty-six November Two-thousand-twenty-four","It is my first time using Crystal Travel.  I have to mention that I got excellent service from Stella Stevens.  Everything was well explained to me.  I will definitely make use of them again and will recommend them to my friends and family.  Thanks"
"Hardev","Helpful Ronald","excellent","Twenty-one November Two-thousand-twenty-four","Ronald did a great job from finding tickets to make me understand everything. He made sure I understood and worked with the names .He was very patient when payment was not going through .Tried different ways and it was success at last .Thanks Ronald for everything especially your patience H S Gill"
"David Gennard","Crystal travel were excellent in…sorting out my request","good","Twenty-eight November Two-thousand-twenty-four","Crystal travel were excellent in helping me book seating for my flights to Bangkok with Turkish AirlineFreya Donovan especially went out of her way to find seating for me and my wife.Never used Crystal Travel before but certainly will in the future…"
"Peter Hayes","As always excellent and courteous…","excellent","Seven November Two-thousand-twenty-four","As always excellent and courteous dealings with Ronald of Crystal Travel. My wife have never been let down by this company, for us they always come up trumps!Cora & Peter"
"Khaleda Hossain","Excellent service","average","Two December Two-thousand-twenty-four","We are very pleased with booking our  USA tickets at the final critical moment.very friendly and reliable customer service ,whoever required help Ask for James Smith,very good understanding person. Just keeping 2 stars save for later after visiting the destination."
"Gary Likely","Christy was wonderful in sorting out my…","excellent","Nine December Two-thousand-twenty-four","Christy was wonderful in sorting out my issue."
"customer","I spoke with 2-3 agents today but the…","excellent","Thirty November Two-thousand-twenty-four","I spoke with 2-3 agents today but the way Aron has handled my query and has helped finding the right flight for myself was amazing. He was very helpful, kind and polite."
"Amina Ahmed","Claire has been very helpful and…","excellent","Sixteen November Two-thousand-twenty-four","Claire has been very helpful and amazing she went above and beyond to find my family the right flight ticket. She provided high level of customer service she’s a asset to the company. Thank you Claire!"
"Rochelle","Excellent customer service from Shirley…","excellent","Seventeen November Two-thousand-twenty-four","Excellent customer service from Shirley Smith. She was helpful in choosing the best flight for my family and got me through the booking and payment smoothly. Have used crystal travel a few times and received excellent service everytime. Thank you."
"Janefrances Ezeh","Thank you Stella stevens…","excellent","Twenty-five November Two-thousand-twenty-four","I would really like to say a big thank you to Stella Stevens for the wonderful service she rendered to me today, very professional and helpful.I do recommend crystal travel any day any time."
"Denise","New Zealand","good","Twenty-six November Two-thousand-twenty-four","New Zealand I have given this review based on my experience .Having now booked my surprise flight for my partners Christmas present, it taken two days ..But none stop messaging and phone calls until I had paid has made me mark it down .Arron the man for this company, called me himself today, and was very helpful."
"glenn whelan","Excellent customer service from Alfred.","excellent","Nineteen November Two-thousand-twenty-four","Excellent customer service from Alfred.I'm in Singapore and emailed crystal travel and asked them to check me in for my flight tomorrow from Singapore. Alfred emailed me and asked for my passport details and within a short time he emailed my boarding passes. Great service. Thanks Alfred."
"Saira Patel","Claire Harp was very good and…","excellent","Twenty-two November Two-thousand-twenty-four","Claire Harp was very good and professional from the time she called me and completed my booking.For the past year I’ve made all my  bookings with Crystal Travel and I’m satisfied with the service."
"Mr Will","Flight to Thailand","excellent","Twenty-nine November Two-thousand-twenty-four","I have had many interactions with Carolina Diaz at Crystal Travel booking my flight to Thailand for Christmas, she has been very helpful and informative throughout. Thank you."
"Paul Smart","Don’t bother- the fare will not exist","bad","Twenty-five November Two-thousand-twenty-four","I don’t know why I even tried. Yet again the fare offered and accepted by me was ‘unavailable’ after I had filled in all pax details plus payment info.  It will be front page news when these clowns actually do represent an honest, available fare. These guys are ‘bait and switch’ con artists and should be hounded by trading standards. AVOID."
"Jack Burling","Paul is the best man for you","excellent","Twenty-four November Two-thousand-twenty-four","Was really helped out by a sales associate by the name Paul he was a real class act, don’t listen to other reviewers PAUL IS THE MAIN MAN"
"Christopher James","Once again crystal travel gave there…","excellent","Twenty-seven November Two-thousand-twenty-four","Once again crystal travel gave there superb service as usual,kind supportive and an excellent price ,many thanks to Jerry Wilson ,a credit to your company."
"Jonathan Unimke","Jose was excellent in booking flight…","excellent","Twenty-nine November Two-thousand-twenty-four","Jose was excellent in booking flight with , I recommend him . Please work with him . One thing I like him , even work at midnight even at time of troubles . He will assist. He is very helpful thanks Jose"
"Waseem Mohi","Fantastic and polite service","excellent","Three December Two-thousand-twenty-four","Fantastic and polite service. Very  impressed by them overall. Especially Ronald and Stella. Waseem"
"Irin Navarra","Great Consultant..","excellent","Thirty November Two-thousand-twenty-four","I am so greatful to booked our flight to Crystal Travel..they are willing to help and assist you and easy ro deal with..I can highly recommend this travel Agency.."
"Mrs. N","Smooth process and accomodating travel consultants.","excellent","Seventeen November Two-thousand-twenty-four","I started dealing with Crystal Travel around May 2024 and since, I have dealt with few of their travel consultants which were all been very helpful. The process has been very smooth and my recent travel consultant STELLA STEVENS have been very understanding of my situation when I had to make some changes with my seat allocation."
"Paul Howes","Arbaz Khan Crystal Travel","excellent","Nineteen November Two-thousand-twenty-four","Arbaz Khan went the extra mile to help resolve the issues we had after BA cancelled our Las Vegas flights, reassuring us & sorting out an alternative flight that met our needs. Would recommend anyone to use this company by asking for Arbaz directly, top fella.."
"jb jb United kingdom","Very good service","excellent","Twenty-one November Two-thousand-twenty-four","Aron,went overboard to attend to my requirements,i was very pleased with his attentiveness,his efficiency,and overall help generally.It seemed effortlessly without complication,or drama.to conclude,i look foreward to doing business again in the near future with Aron,very pleasant and helpful guy,highly recommended for his expertise.and patience."
"imc ricoh","Excellent service Claire thank you for…","excellent","Thirty November Two-thousand-twenty-four","Excellent service Claire thank you for sorting out my flight for next year👍"
"Consumer","It was great serving and fast with…","excellent","Ten December Two-thousand-twenty-four","It was great serving and fast with Carlos silva thank you so much ☺️"
"Karri","Thank you to Calvin and Christy","good","Twenty-three November Two-thousand-twenty-four","I'd like to thank Calvin for helping me sort out alternative tickets at a similar price when the initial price point tickets were actually sold out but still showing on Kayak.  The only thing is that I thought I'd have the tickets sent that day.  But I followed up with Christy the next day and she was able to sort that out and waited until I received the email with the tickets before hanging up.  She also helped with seat requests and special meal requests, etc."
"David C. Michael","Carolina Diaz and Alfred Shaw were awesome","excellent","Twenty-three November Two-thousand-twenty-four","Carolina Diaz and Alfred Shaw have been helpful in helping me book my tickets. Thanks a lot to everyone at Crystal Travel. I really enjoyed the service."
"Christopher","Ronald","excellent","Fifteen November Two-thousand-twenty-four","Ronald, the agent I dealt with was wonderfully helpful. I had been having a little trouble with the website (my fault!) and so I decided to use the phone. Ronald was clear and patient with me, sorting out dates and stopovers for a long-haul travel schedule spread over 3 months. He was able to find the most economic and convenient for all flights. A life saver! Thank-you!"
"Mrs Rashmi Niru","I booked my ticket with christal…","excellent","Twenty-one November Two-thousand-twenty-four","I booked my ticket with christal travel. Carolina Diaz updated me new schedule. I don’t have to worry about anything there staff does everything for you. Thanks christal travel for lovly customer service"
"Ivy Angelie Gavriliuc","Stella did really a great job and helped me too much!","excellent","Nineteen November Two-thousand-twenty-four","Stella stevens was very helpful to me. I asked about some informations for our next week flight and she really done very well to give me the answers i needed. She even added informations that i never knew and it was really helpful!"
"Rab Dickson","Mroby travel rep very inform)Olivia…","excellent","Twenty-two November Two-thousand-twenty-four","My travel rep very informative Olivia Clark nothing was true much trouble for her  was not sure about online check in  helped very well book me with quatar airline very good flights service very good thank you again Olivia Clark Edinburgh to Philippines"
"Sohail Mohammed","Outstanding service Ticket booking is…","excellent","Twenty-one November Two-thousand-twenty-four","Outstanding service Ticket booking is quick and simple, and customer service is excellent and friendly. Thank you, Rebecca you are doing a great jobthank you sohail"
"SAHIL KHULAR","Got a great deal for canada tickets","excellent","Twenty November Two-thousand-twenty-four","Got a great deal for canada tickets, jack from crystal travel helped us through out the process."
"Grasiana","Helpful tips and advice given and final…","excellent","Twenty-nine November Two-thousand-twenty-four","Helpful tips and advice given by Jose and final decisions made about the trip"
"Ms Miriam Izundu","Mr Jose Wilson, the Crystal Travel Consultant Agent was good.t","excellent","Fifteen November Two-thousand-twenty-four","Mr Jose Wilson, Crystal Travel Consultant was an excellent booking agent for my flight to Nigeria. The recent booking was perfect and he explains things in details for me, in booking it and in case I couldn't make it on the arranged date of travel, he could get it re-booked for me, on a suited date, that I wish to travel which was perfect."
"jip -","Alfred is given an excellent sevices","excellent","Twenty-one November Two-thousand-twenty-four","Alfred is given an excellent sevices. Very helpful, very polite and petient. Went out of his way to make sure my flight booking went without problems even after the flights paid and booked. Next flight I fly I'll surly ask to deal with him again."
"Eleni","Very helpful company Called the company to book tickets to…","good","Twenty-seven November Two-thousand-twenty-four","Called the company to book tickets to LA and was met with some extremely helpful staff. Looking forward to travelling next year with out any problems. Thank you Crystal Travel"
"Aidan","The advisor, Alfred was brilliant","excellent","Twenty-three November Two-thousand-twenty-four","The advisor, Alfred was very useful and did what I asked without compromise. I will use Crystal Travel again and would recommend the service to my freinds."
"Annabel Magpantay","Freya is truly,very helpful to me.She…","excellent","Five December Two-thousand-twenty-four","Freya is truly,very helpful to me.She is trying to find a good solution,specially about the seats that I want!!And not only that!She is also nice and kind to me!!"
"salome mikosi","Very friendly and efficient  staff","excellent","Sixteen November Two-thousand-twenty-four","Very friendly and efficient  staff They value  their customers.  Ana Swift was super  efficient  . She took  me through the process of booking in a very simple and quick way . I will always recommend  family and friends"
"Doreen","John Morris was very helpful to get us…","good","Twenty November Two-thousand-twenty-four","John Morris was very helpful to get us a very good price for a flight and John was always friendly when speaking to to him on the phone keep it up John"
"Isobel Scarlette","TOTAL FIX!","bad","Eighteen November Two-thousand-twenty-four","One star is generous! Customer service Paul is rude and obnoxious whom constantly speaks over customers. This company advertises the lowest price throughout the entire day to undercut other 3rd party agents. Once booked the payment will not go through as the promotional offer has ""expired"". This will not reflect or update on the website, as they want customer details. Once details have been maintained they will contact you with the ""best price"" which will be more than other providers and potentially the airlines. Avoid at all costs! This is a scam and improper use of fair trading! They should be ashamed of themselves."
"Mainuddin Talikoti","Carlos was amazing person","excellent","Twenty-eight November Two-thousand-twenty-four","Carlos was amazing person, helped me so quickly and there was no delay in call respond. Trust to Crystal travel"
"Shashi Chaturvedi","Alfred Shaw was very helpful and…","excellent","Three December Two-thousand-twenty-four","Alfred Shaw was very helpful and professional, solved my issue. Thanks."
"Shakur Muyaba","Talked to Mr Cartosilva was very very…","excellent","Six December Two-thousand-twenty-four","Talked to Mr Cartosilva was very very polite and helpful......"
"Ynah Galagnara","Aron was very helpful and provided a…","excellent","Nine December Two-thousand-twenty-four","Aron was very helpful and provided a good service!"
"Consumer","Claire harp is an outstanding employer","excellent","Twenty-seven November Two-thousand-twenty-four","Claire harp is an outstanding employer. She is patient, diligent & very caring towards her customer.She is an asset to the organisation"
"Mel Banag","Carolina was so helpful and did all the…","excellent","Twenty-seven November Two-thousand-twenty-four","Carolina was so helpful and did all the queries i asked and confirmed my flight details, thank you so much."
"Lee Holmes","Help out in a bad situation really…","excellent","Twenty-seven November Two-thousand-twenty-four","Help out in a bad situation really helpful definitely be using these again ⭐️⭐️⭐️⭐️⭐️🔥🔥🔥🔥🔥👍👍👍👍👍❤️"
"Musa Chonco","Excellence","excellent","Six December Two-thousand-twenty-four","Freya was very professional and conveyed highest level of understanding and cooperation  best of the best"
"Efosa Osagie","Olivia was Fantastic","excellent","One December Two-thousand-twenty-four","Olivia was Fantastic, made every effort to give me the Best. Excellent job!"
"Martin Fry","Thanks  to Alfred Shaw for his help in…","excellent","Twenty-eight November Two-thousand-twenty-four","Thanks  to Alfred Shaw for his help in solving my wife booking confirmation and seat allocation.Much appreciated Martin Fry"
"Lola Abrahams","Excellent customer service","excellent","Twenty-six November Two-thousand-twenty-four","Excellent customer service. Prompt booking and delivery of ticket.  Jose  was very respectful and have an excellent communication skills to deliver satisfactory customer services.  I'm happy he was able to help with my booking.  Thank you Jose."
"Mark Dilkes","Very clear and competent got what i…","excellent","Eight December Two-thousand-twenty-four","Very clear and competent got what i needed thanks you."
